0,R,Y,C,I,pi,w,L,RE,LEV_F,LEV_E,S
2-Mar,-0.736348039,1.64057795,2.55412471,2.28858271,-0.25822976,3.08832853,-0.987606,-0.05879902,-8.04361455,4.1329621,0.64509804
2-Jun,-0.731348039,1.517789207,2.33653267,0.69600963,-0.15043157,3.26509328,-0.53905658,-0.09879902,-11.94001964,4.177835,0.83509804
2-Sep,-0.731348039,1.077364993,2.00026846,-0.9575818,-0.15232607,2.87450693,-0.90340909,-0.23629902,-9.13557977,3.9450909,1.12509804
2-Dec,-0.858848039,1.006619459,2.1900941,-1.63573254,-0.04638745,2.48751596,-1.20900274,-0.22379902,-5.08504068,3.4226525,0.69509804
3-Mar,-0.856348039,0.328267294,1.54877337,-2.56593667,0.16484237,2.87902575,-1.12970526,-0.34879902,-7.94394606,2.7092614,0.57509804
3-Jun,-0.863848039,-0.008701652,1.26920605,-1.90095738,-0.26629531,3.89403652,-1.82756504,-0.53879902,-13.17866151,1.7703811,0.39509804
3-Sep,-0.916348039,1.586334704,2.51298379,0.94736219,-0.05500392,4.24288043,-1.34974145,-0.38879902,-11.87838824,1.1017893,0.26509804
3-Dec,-0.923848039,1.919700942,2.4287593,2.50588664,-0.05781532,4.15670579,-0.90433873,-0.43629902,-10.27880957,-0.146233,0.03509804
4-Mar,-0.918848039,2.049067731,2.73101607,2.18639271,0.2537038,2.48736956,-0.02290581,-0.55879902,-12.01068511,-0.4573913,-0.15490196
4-Jun,-0.911348039,1.980890585,2.42026369,5.09250531,0.24670087,2.61748036,-0.85155629,-0.39129902,-13.3799506,-1.2693574,-0.36490196
4-Sep,-0.766348039,2.317244094,2.80375674,7.32585748,0.13688009,3.04510443,-0.34607605,-0.51879902,-15.93509459,-1.8963925,-0.49490196
4-Dec,-0.628848039,2.319734095,3.01218376,8.52439002,0.23388014,2.63939034,-0.32563905,-0.54879902,-16.5729018,-2.7682653,-0.55490196
5-Mar,-0.511348039,2.662466471,3.03498362,9.72179968,0.32846824,2.03104194,-0.67406788,-0.57129902,-19.23565957,-1.9884256,-0.61490196
5-Jun,-0.408848039,2.092533413,2.92428696,11.05309946,0.01881361,1.72730791,-0.24149641,-0.62129902,-21.97802112,-5.6792853,-0.67490196
5-Sep,-0.263848039,1.945413202,2.65620806,12.24651595,0.5139241,1.62105531,0.51255536,-0.57879902,-18.89138262,-6.4780614,-0.69490196
5-Dec,-0.128848039,1.983946705,2.36431121,12.99641793,0.20623109,1.01653399,0.45900361,-0.50629902,-17.06201052,-7.1496725,-0.66490196
6-Mar,-0.021348039,2.323250924,2.42496536,14.91614653,0.19999411,1.09934067,1.37368811,-0.48379902,-20.14302273,-8.2740739,-0.66490196
6-Jun,0.078651961,1.907406276,2.11281209,13.9963172,0.29098902,0.3021461,1.93736742,-0.39129902,-19.60309616,-8.271845,-0.64490196
6-Sep,0.143651961,1.321605386,2.04208719,12.16707449,0.18706097,-0.49004407,1.30491133,-0.47879902,-20.31242698,-8.8945695,-0.59490196
6-Dec,0.141151961,0.935506614,1.84915974,10.05720645,-0.20202142,1.01198998,2.86254725,-0.53129902,-23.21509806,-10.0214075,-0.62490196
7-Mar,0.146151961,0.469998837,1.67369588,9.10381259,0.4634917,0.49600345,2.17866021,-0.51879902,-23.92971527,-9.802684,-0.52490196
7-Jun,0.143651961,0.872923604,1.58736262,9.12088737,0.26443168,-0.48053654,2.25837849,-0.41129902,-20.27745517,-10.2022229,-0.51490196
7-Sep,0.066151961,0.782202758,1.28621801,7.56848185,-0.11693233,-0.61245773,1.86325945,-0.43879902,-21.30370182,-9.1290778,-0.40490196
7-Dec,-0.108848039,0.759900332,0.8235266,5.13454157,-0.39937131,0.35637623,1.53974442,-0.42379902,-23.00655726,-8.0797545,-0.29490196
8-Mar,-0.516348039,0.088976047,0.06630676,2.51447395,-0.12000088,0.66210914,1.47672365,-0.36379902,-23.57593951,-7.232552,-0.20490196
8-Jun,-0.668848039,-0.422791639,-0.64456264,0.47545327,0.24785991,-0.66823283,0.22341748,-0.31879902,-19.73243233,-5.782253,-0.13490196
8-Sep,-0.716348039,-2.038439808,-2.20473529,-3.12376578,0.51530224,-1.27821435,-1.45814507,-0.25879902,-18.18837525,-4.6938889,0.11509804
8-Dec,-1.128848039,-4.215491083,-3.54067954,-10.70495839,-0.86098588,-1.14184207,-3.98926593,0.021200981,-12.65741345,-0.134713,0.40509804
9-Mar,-1.123848039,-5.614964751,-3.89905328,-23.11473423,-0.31228869,-2.80713439,-6.63587103,0.018700981,-21.76804381,3.1529399,0.90509804
9-Jun,-1.116348039,-6.602343082,-5.18956559,-28.62248192,-0.49535476,-1.07885004,-7.34534908,-0.21129902,-18.20356847,5.3809125,1.39509804
9-Sep,-1.131348039,-6.0934011,-4.66169804,-30.11146878,-0.40432183,-0.87774792,-7.20581264,-0.50879902,-22.90836562,5.9513788,1.68509804
9-Dec,-1.138848039,-4.731210535,-4.36317237,-31.10257553,-0.67775346,-0.75661528,-6.3308931,-0.49379902,-30.62524268,7.0196536,1.49509804
10-Mar,-1.128848039,-4.795579183,-4.95507437,-32.15813509,-0.31353743,-1.69663964,-4.82613185,-0.51629902,-34.59224137,7.0055404,1.08509804
10-Jun,-1.123848039,-4.685543136,-4.80065302,-28.86810538,-0.13312177,-2.73038936,-4.31325738,-0.52879902,-28.58402513,6.2940705,0.83509804
